user_id,total_staked_amount,total_commit_amount
3,2.0,1.0
1823,74.2575,12.0
2901,49.495,1.0
5276,10.0,10.0
5732,104.4829754,10.0
8925,1.0,1.0
8977,24.7525,24.7525
10535,28.1025,6.635625
10908,500.0,450.0
11107,142.1215414,80.6598292
11885,25.75,24.75
12317,24.7525,24.7525
14444,50.0,100.0
14944,74.870864,110.0
15811,41.1509841,100.0
15932,100.6909025,24.7977257
15951,61.6193771,34.849750900000004
17321,43.45429,8.0
17903,54.7322124,13.3080531
18332,74.2575,4.7525
18506,45.1642467,22.5821233
18638,258.8405997,106.0335981
18650,10.0,10.0
18719,60.0,32.0
19861,1.0,1.0
21085,18.7957108,13.721783
22390,251.5330445,125.7665222
22675,24.7525,24.7525
23255,5550.8899745,1387.3024936
24343,74.2575,20.0
25421,264.2932556,43.788876
25477,49.6563742,45.0
25878,75.6917336,25.9481769
27275,5.0,5.0
29878,61.0401512,14.8850378
31417,20.0,45.0
33117,74.2575,10.0
33336,33.948033,67.896066
34708,79.9483965,13.0747328
35303,24.7525,24.7525
35620,2.0,10.0
37778,11.4933304,25.4849935
38501,118.0,25.0
39151,49.5,24.75
41731,74.2575,5.0
42674,51.673,31.850625
43478,24.7525,10.0
43798,49.5760744,24.7880372
44460,50.0,20.0
44483,182.49891,44.2789245
45482,2.0,2.0
45559,50.0,24.755
45726,10.0,10.0
45825,90.0,5.0
47485,75.141092,24.0
48442,24.7525,24.7525
48992,20.6837519,20.6837519
50174,10.0,10.0
50796,20.0,30.0
50986,74.2575,93.174375
51287,74.4920495,23.0
51399,74.2575,93.174375
51424,65.7943537,136.2822065
51970,50.0,24.7525
52143,50.0,50.0
52181,24.7525,24.7525
52295,24.7525,20.0
53514,24.7525,49.505
54514,86.5822031,15.0
54569,36.245,17.8725
54623,22.25,22.25
55028,74.3270657,18.1917664
55788,86.3525001,13.045
56814,24.7525,49.505
58106,59.8003103,29.9001552
58511,49.505,44.7525
58705,146.7523715,73.3761858
59115,192.6034583,71.9438332
59148,95.198161,103.0
59306,20.8249383,22.8249383
60622,6.8575,13.21
61545,74.9925,20.0
61909,24.5225,24.5225
62527,23.0,46.0
62628,76.4464433,38.2232216
62955,124.3654413,1.0
63547,177.32999999999998,37.5
63761,37.7986518,37.7986518
64526,20.99,15.6175
64810,106.7125268,108.8031317
64992,54.255,22.1275
65555,31.0566139,15.528307
66589,74.2575,18.114375
67035,22.125,22.125
67198,10.0,59.8547498
68629,71.8968317,56.9656664
69662,66.0568887,27.1791354
70201,50.0,25.0025
70313,24.7525,24.7525
70595,63.230625,85.1625
71965,200.0,200.0
73322,198.0,99.0
73559,50.0,30.0
73678,14.2720339,28.5440679
73764,24.7525,49.505
73873,36.507624,31.106670899999997
74611,138.77832,71.0427255
75226,60.428511,30.2142555
75805,1056.4916240999999,248.3233234
76198,42.7275,12.8917188
76737,50.0,5.0
77785,75.2453679,20.1635786
78440,13.3906992,32.971748
79504,36826.2092301,5000.0
81179,74.2575,12.12625
83013,197.1921885,99.0
85343,50.0,10.0
90063,323.0,190.0
90210,24.8836644,24.8836644
90852,100.0,100.0
91698,74.6092349,20.869745
91719,73.1947494,20.0
92843,10.0,3.0
92896,100.0,100.0
93197,128.546875,20.0
95936,14.500742500000001,48.3963581
99989,151.0153246,37.3638311
100452,100.3479241,20.0
100529,11.2,5.6
101446,15.0,5.0
102005,25.0,5.0
102687,1.0,4.0
104737,27.9058334,20.8043751
105477,3.0,0.77
106188,255.199055,127.5995275
106630,2097.1474844,297.0
108703,4.0,9.0
108946,10.0,48.9874396
111870,78.0,90.0
112096,50.0,37.2475
112187,1.7125,1.159375
112491,20.0,30.0
113199,1.0,1.1
113889,74.2575,20.0
114563,66.75,20.0
115326,60.371526,30.185763
115818,24.7525,24.7525
118819,420.0,207.9009582
118888,163.26187499999997,5.0
119885,20.0,10.0
123114,1.0,1.0
123599,31.0025,10.0
123711,31.6550559,8.3077246
123775,118.8753183,80.0
129118,188.02900469999997,51.303883400000004
130488,24.8558172,24.8558172
130609,24.8353017,24.8353017
135027,24.8310398,36.9965598
137924,158.0,39.375
138025,10.0,75.86079749999999
139200,60.925,30.4625
139316,52.1150004,52.1150004
139606,22.564509,11.0322545
140832,46.98,5.0
141499,54.1998438,77.3986328
142280,20.0,41.2
142928,67.6709638,67.6709638
143920,100.0,100.0
144652,126.0,10.37
146453,12.3212963,24.6425926
147897,2.0,8.0
148245,50.0,50.0
148571,88.8883819,21.8470955
148624,49.255,24.6275
150124,49.505,24.7525
151404,50.0,40.0
151921,52.176302,26.088151
154713,6.0,16.0
156169,25.0,33.0
158807,15.0,23.7475
161460,74.6090733,5.0
165004,5.0,5.0
166053,24.7525,20.0
167585,98.505,49.2525
167983,15.2675,15.2675
171997,38.43,19.215
173683,59.275,29.3775
176334,66.7846847,16.5711712
176541,210.4592872,210.4592872
176931,53.2731933,26.6365967
177289,26.55805,53.1161
178340,57.3528557,150.3311481
180470,180.0,150.0
181339,136.9948431,130.995294
182367,37.2475,37.2475
184554,40.0,1.0
190232,49.505,24.7525
