user_id,total_staked_amount,total_commit_amount
3,2.0,1.0
1823,74.2575,12.0
2901,49.495,1.0
5276,10.0,10.0
5732,104.4829754,10.0
8925,1.0,1.0
8977,24.7525,24.7525
10535,28.1025,6.635625
10908,500.0,450.0
11107,142.1215414,80.6598292
11885,25.75,24.75
12317,24.7525,24.7525
14444,50.0,100.0
14944,74.870864,110.0
15811,41.1509841,100.0
15932,100.6909025,24.7977257
15951,61.6193771,34.849750900000004
17321,43.45429,8.0
17903,54.7322124,13.3080531
18332,74.2575,4.7525
18506,45.1642467,22.5821233
18638,258.8405997,106.0335981
18650,10.0,10.0
18719,60.0,32.0
19861,1.0,1.0
21085,18.7957108,13.721783
22390,251.5330445,125.7665222
22675,24.7525,24.7525
23255,5550.8899745,1387.3024936
24343,74.2575,20.0
25421,264.2932556,43.788876
25477,49.6563742,45.0
25878,75.6917336,25.9481769
27275,5.0,5.0
29878,61.0401512,14.8850378
31417,20.0,45.0
33117,74.2575,10.0
33336,33.948033,67.896066
34708,79.9483965,13.0747328
35303,24.7525,24.7525
35620,2.0,10.0
37778,11.4933304,25.4849935
38501,118.0,25.0
39151,49.5,24.75
41731,74.2575,5.0
42674,51.673,31.850625
43478,24.7525,10.0
43798,49.5760744,24.7880372
44460,50.0,20.0
44483,182.49891,44.2789245
45482,2.0,2.0
45559,50.0,24.755
45726,10.0,10.0
45825,90.0,5.0
47485,75.141092,24.0
48442,24.7525,24.7525
48992,20.6837519,20.6837519
50174,10.0,10.0
50796,20.0,30.0
50986,74.2575,93.174375
51287,74.4920495,23.0
51399,74.2575,93.174375
51424,65.7943537,136.2822065
51970,50.0,24.7525
52143,50.0,50.0
52181,24.7525,24.7525
52295,24.7525,20.0
53514,24.7525,49.505
54514,86.5822031,15.0
54569,36.245,17.8725
54623,22.25,22.25
55028,74.3270657,18.1917664
55788,86.3525001,13.045
56814,24.7525,49.505
58106,59.8003103,29.9001552
58511,49.505,44.7525
58705,146.7523715,73.3761858
59115,192.6034583,71.9438332
59148,95.198161,103.0
59306,20.8249383,22.8249383
60622,6.8575,13.21
61545,74.9925,20.0
61909,24.5225,24.5225
62527,23.0,46.0
62628,76.4464433,38.2232216
62955,124.3654413,1.0
63547,177.32999999999998,37.5
63761,37.7986518,37.7986518
64526,20.99,15.6175
64810,106.7125268,108.8031317
64992,54.255,22.1275
65555,31.0566139,15.528307
66589,74.2575,18.114375
67035,22.125,22.125
67198,10.0,59.8547498
68629,71.8968317,56.9656664
69662,66.0568887,27.1791354
70201,50.0,25.0025
70313,24.7525,24.7525
